1 	Avg Reward:  0.1444091796875 	 Loss:  0.455142617225647 	 Wins:  0.0 	 Epsilon:  -1
2 	Avg Reward:  0.13671875 	 Loss:  0.4529728293418884 	 Wins:  0.0 	 Epsilon:  0.01
3 	Avg Reward:  0.162109375 	 Loss:  0.4540557265281677 	 Wins:  0.10822510822510822 	 Epsilon:  0.01
4 	Avg Reward:  0.160888671875 	 Loss:  0.4521917700767517 	 Wins:  0.0 	 Epsilon:  0.01
5 	Avg Reward:  0.138916015625 	 Loss:  0.4636944532394409 	 Wins:  0.0 	 Epsilon:  0.01
6 	Avg Reward:  0.146728515625 	 Loss:  0.4436793625354767 	 Wins:  0.10351966873706005 	 Epsilon:  0.01
7 	Avg Reward:  0.14404296875 	 Loss:  0.45455506443977356 	 Wins:  0.0 	 Epsilon:  0.01
8 	Avg Reward:  0.1605224609375 	 Loss:  0.4471205770969391 	 Wins:  0.0 	 Epsilon:  0.01
9 	Avg Reward:  0.166015625 	 Loss:  0.44072917103767395 	 Wins:  0.0 	 Epsilon:  0.01
10 	Avg Reward:  0.142578125 	 Loss:  0.44017502665519714 	 Wins:  0.0 	 Epsilon:  0.01
11 	Avg Reward:  0.1575927734375 	 Loss:  0.4151344895362854 	 Wins:  0.0 	 Epsilon:  0.01
12 	Avg Reward:  0.1671142578125 	 Loss:  0.41303133964538574 	 Wins:  0.0 	 Epsilon:  0.01
13 	Avg Reward:  0.16455078125 	 Loss:  0.41413581371307373 	 Wins:  0.0 	 Epsilon:  0.01
14 	Avg Reward:  0.1649169921875 	 Loss:  0.4226667284965515 	 Wins:  0.0 	 Epsilon:  0.01
15 	Avg Reward:  0.1634521484375 	 Loss:  0.410028338432312 	 Wins:  0.0 	 Epsilon:  0.01
16 	Avg Reward:  0.159423828125 	 Loss:  0.41855019330978394 	 Wins:  0.0 	 Epsilon:  0.01
17 	Avg Reward:  0.16162109375 	 Loss:  0.42666906118392944 	 Wins:  0.0 	 Epsilon:  0.01
18 	Avg Reward:  0.16455078125 	 Loss:  0.41202545166015625 	 Wins:  0.0 	 Epsilon:  0.01
19 	Avg Reward:  0.1641845703125 	 Loss:  0.4280509352684021 	 Wins:  0.0 	 Epsilon:  0.01
20 	Avg Reward:  0.174072265625 	 Loss:  0.4058774709701538 	 Wins:  0.0 	 Epsilon:  0.01
21 	Avg Reward:  0.1678466796875 	 Loss:  0.41191402077674866 	 Wins:  0.0 	 Epsilon:  0.01
22 	Avg Reward:  0.1715087890625 	 Loss:  0.4071810841560364 	 Wins:  0.0 	 Epsilon:  0.01
