1 	Avg Reward:  0.1707763671875 	 Loss:  0.4390879273414612 	 Wins:  0.0 	 Epsilon:  -1
2 	Avg Reward:  0.1583251953125 	 Loss:  0.44392746686935425 	 Wins:  0.0 	 Epsilon:  0.01
3 	Avg Reward:  0.1649169921875 	 Loss:  0.44170838594436646 	 Wins:  0.0 	 Epsilon:  0.01
4 	Avg Reward:  0.1729736328125 	 Loss:  0.43897199630737305 	 Wins:  0.0 	 Epsilon:  0.01
5 	Avg Reward:  0.175537109375 	 Loss:  0.4402765929698944 	 Wins:  0.0 	 Epsilon:  0.01
6 	Avg Reward:  0.177734375 	 Loss:  0.4354507625102997 	 Wins:  0.0 	 Epsilon:  0.01
7 	Avg Reward:  0.1748046875 	 Loss:  0.43873870372772217 	 Wins:  0.0 	 Epsilon:  0.01
8 	Avg Reward:  0.1671142578125 	 Loss:  0.4473969638347626 	 Wins:  0.0 	 Epsilon:  0.01
9 	Avg Reward:  0.1649169921875 	 Loss:  0.4309391975402832 	 Wins:  0.0 	 Epsilon:  0.01
10 	Avg Reward:  0.1678466796875 	 Loss:  0.4188061058521271 	 Wins:  0.0 	 Epsilon:  0.01
11 	Avg Reward:  0.172607421875 	 Loss:  0.42333903908729553 	 Wins:  0.0 	 Epsilon:  0.01
12 	Avg Reward:  0.177001953125 	 Loss:  0.4115312099456787 	 Wins:  0.0 	 Epsilon:  0.01
13 	Avg Reward:  0.16455078125 	 Loss:  0.398404598236084 	 Wins:  0.0 	 Epsilon:  0.01
14 	Avg Reward:  0.1806640625 	 Loss:  0.40820086002349854 	 Wins:  0.0 	 Epsilon:  0.01
15 	Avg Reward:  0.1737060546875 	 Loss:  0.4083717465400696 	 Wins:  0.0 	 Epsilon:  0.01
16 	Avg Reward:  0.1773681640625 	 Loss:  0.39831477403640747 	 Wins:  0.0 	 Epsilon:  0.01
17 	Avg Reward:  0.17626953125 	 Loss:  0.4201582968235016 	 Wins:  0.0 	 Epsilon:  0.01
18 	Avg Reward:  0.16455078125 	 Loss:  0.4067193865776062 	 Wins:  0.0 	 Epsilon:  0.01
19 	Avg Reward:  0.189208984375 	 Loss:  0.3811785578727722 	 Wins:  0.11764705882352941 	 Epsilon:  0.01
20 	Avg Reward:  0.1810302734375 	 Loss:  0.39791733026504517 	 Wins:  0.0 	 Epsilon:  0.01
21 	Avg Reward:  0.1865234375 	 Loss:  0.40571314096450806 	 Wins:  0.0 	 Epsilon:  0.01
22 	Avg Reward:  0.183349609375 	 Loss:  0.4072493314743042 	 Wins:  0.11547344110854503 	 Epsilon:  0.01
23 	Avg Reward:  0.1773681640625 	 Loss:  0.3946315050125122 	 Wins:  0.0 	 Epsilon:  0.01
24 	Avg Reward:  0.177001953125 	 Loss:  0.38359132409095764 	 Wins:  0.0 	 Epsilon:  0.01
25 	Avg Reward:  0.166748046875 	 Loss:  0.38955408334732056 	 Wins:  0.0 	 Epsilon:  0.01
26 	Avg Reward:  0.1722412109375 	 Loss:  0.395805299282074 	 Wins:  0.0 	 Epsilon:  0.01
27 	Avg Reward:  0.16748046875 	 Loss:  0.4032455086708069 	 Wins:  0.0 	 Epsilon:  0.01
28 	Avg Reward:  0.193115234375 	 Loss:  0.4023575186729431 	 Wins:  0.0 	 Epsilon:  0.01
29 	Avg Reward:  0.177734375 	 Loss:  0.38970068097114563 	 Wins:  0.0 	 Epsilon:  0.01
30 	Avg Reward:  0.1700439453125 	 Loss:  0.4026312530040741 	 Wins:  0.0 	 Epsilon:  0.01
31 	Avg Reward:  0.1715087890625 	 Loss:  0.39134907722473145 	 Wins:  0.0 	 Epsilon:  0.01
32 	Avg Reward:  0.177001953125 	 Loss:  0.3845168948173523 	 Wins:  0.0 	 Epsilon:  0.01
33 	Avg Reward:  0.171142578125 	 Loss:  0.4020922780036926 	 Wins:  0.0 	 Epsilon:  0.01
34 	Avg Reward:  0.17626953125 	 Loss:  0.39360296726226807 	 Wins:  0.0 	 Epsilon:  0.01
35 	Avg Reward:  0.174072265625 	 Loss:  0.39596056938171387 	 Wins:  0.0 	 Epsilon:  0.01
36 	Avg Reward:  0.19384765625 	 Loss:  0.3885756731033325 	 Wins:  0.0 	 Epsilon:  0.01
37 	Avg Reward:  0.1795654296875 	 Loss:  0.38435858488082886 	 Wins:  0.0 	 Epsilon:  0.01
38 	Avg Reward:  0.190185546875 	 Loss:  0.39636021852493286 	 Wins:  0.0 	 Epsilon:  0.01
39 	Avg Reward:  0.1824951171875 	 Loss:  0.386233925819397 	 Wins:  0.0 	 Epsilon:  0.01
40 	Avg Reward:  0.171875 	 Loss:  0.3837890028953552 	 Wins:  0.0 	 Epsilon:  0.01
41 	Avg Reward:  0.1832275390625 	 Loss:  0.39606937766075134 	 Wins:  0.0 	 Epsilon:  0.01
42 	Avg Reward:  0.1839599609375 	 Loss:  0.3916226625442505 	 Wins:  0.0 	 Epsilon:  0.01
43 	Avg Reward:  0.177734375 	 Loss:  0.3806440830230713 	 Wins:  0.0 	 Epsilon:  0.01
44 	Avg Reward:  0.185546875 	 Loss:  0.3871048092842102 	 Wins:  0.11627906976744186 	 Epsilon:  0.01
45 	Avg Reward:  0.177001953125 	 Loss:  0.39883509278297424 	 Wins:  0.0 	 Epsilon:  0.01
46 	Avg Reward:  0.168212890625 	 Loss:  0.38041311502456665 	 Wins:  0.0 	 Epsilon:  0.01
47 	Avg Reward:  0.172607421875 	 Loss:  0.378290593624115 	 Wins:  0.0 	 Epsilon:  0.01
48 	Avg Reward:  0.1781005859375 	 Loss:  0.4003973603248596 	 Wins:  0.0 	 Epsilon:  0.01
49 	Avg Reward:  0.184326171875 	 Loss:  0.39316266775131226 	 Wins:  0.0 	 Epsilon:  0.01
50 	Avg Reward:  0.1815185546875 	 Loss:  0.39760637283325195 	 Wins:  0.1148105625717566 	 Epsilon:  0.01
51 	Avg Reward:  0.1788330078125 	 Loss:  0.3847566246986389 	 Wins:  0.0 	 Epsilon:  0.01
52 	Avg Reward:  0.1707763671875 	 Loss:  0.39885571599006653 	 Wins:  0.0 	 Epsilon:  0.01
53 	Avg Reward:  0.177001953125 	 Loss:  0.39112791419029236 	 Wins:  0.0 	 Epsilon:  0.01
54 	Avg Reward:  0.1759033203125 	 Loss:  0.3938430845737457 	 Wins:  0.0 	 Epsilon:  0.01
55 	Avg Reward:  0.1729736328125 	 Loss:  0.3973538875579834 	 Wins:  0.0 	 Epsilon:  0.01
56 	Avg Reward:  0.1912841796875 	 Loss:  0.40265995264053345 	 Wins:  0.0 	 Epsilon:  0.01
57 	Avg Reward:  0.17041015625 	 Loss:  0.38627296686172485 	 Wins:  0.0 	 Epsilon:  0.01
58 	Avg Reward:  0.1817626953125 	 Loss:  0.3963415324687958 	 Wins:  0.0 	 Epsilon:  0.01
59 	Avg Reward:  0.1630859375 	 Loss:  0.38908272981643677 	 Wins:  0.0 	 Epsilon:  0.01
60 	Avg Reward:  0.1854248046875 	 Loss:  0.3837108016014099 	 Wins:  0.0 	 Epsilon:  0.01
61 	Avg Reward:  0.177734375 	 Loss:  0.40079057216644287 	 Wins:  0.0 	 Epsilon:  0.01
62 	Avg Reward:  0.1884765625 	 Loss:  0.38761648535728455 	 Wins:  0.11737089201877934 	 Epsilon:  0.01
63 	Avg Reward:  0.1802978515625 	 Loss:  0.3841080069541931 	 Wins:  0.0 	 Epsilon:  0.01
64 	Avg Reward:  0.1890869140625 	 Loss:  0.38623982667922974 	 Wins:  0.0 	 Epsilon:  0.01
65 	Avg Reward:  0.17333984375 	 Loss:  0.3771975338459015 	 Wins:  0.0 	 Epsilon:  0.01
66 	Avg Reward:  0.1905517578125 	 Loss:  0.3965194821357727 	 Wins:  0.0 	 Epsilon:  0.01
67 	Avg Reward:  0.1773681640625 	 Loss:  0.39118391275405884 	 Wins:  0.0 	 Epsilon:  0.01
68 	Avg Reward:  0.1839599609375 	 Loss:  0.4037981629371643 	 Wins:  0.0 	 Epsilon:  0.01
69 	Avg Reward:  0.1707763671875 	 Loss:  0.4055936932563782 	 Wins:  0.0 	 Epsilon:  0.01
70 	Avg Reward:  0.1861572265625 	 Loss:  0.3816010355949402 	 Wins:  0.0 	 Epsilon:  0.01
71 	Avg Reward:  0.190185546875 	 Loss:  0.3804783225059509 	 Wins:  0.0 	 Epsilon:  0.01
72 	Avg Reward:  0.1859130859375 	 Loss:  0.3892064690589905 	 Wins:  0.11641443538998836 	 Epsilon:  0.01
73 	Avg Reward:  0.18212890625 	 Loss:  0.39395418763160706 	 Wins:  0.0 	 Epsilon:  0.01
74 	Avg Reward:  0.16943359375 	 Loss:  0.3909701704978943 	 Wins:  0.11061946902654868 	 Epsilon:  0.01
75 	Avg Reward:  0.1868896484375 	 Loss:  0.39333564043045044 	 Wins:  0.0 	 Epsilon:  0.01
76 	Avg Reward:  0.1876220703125 	 Loss:  0.3755403161048889 	 Wins:  0.0 	 Epsilon:  0.01
77 	Avg Reward:  0.1876220703125 	 Loss:  0.38352590799331665 	 Wins:  0.0 	 Epsilon:  0.01
78 	Avg Reward:  0.1795654296875 	 Loss:  0.36465615034103394 	 Wins:  0.0 	 Epsilon:  0.01
79 	Avg Reward:  0.1802978515625 	 Loss:  0.3811454772949219 	 Wins:  0.0 	 Epsilon:  0.01
80 	Avg Reward:  0.182861328125 	 Loss:  0.37775224447250366 	 Wins:  0.0 	 Epsilon:  0.01
81 	Avg Reward:  0.181396484375 	 Loss:  0.3760758936405182 	 Wins:  0.0 	 Epsilon:  0.01
82 	Avg Reward:  0.1763916015625 	 Loss:  0.38726961612701416 	 Wins:  0.11299435028248588 	 Epsilon:  0.01
83 	Avg Reward:  0.18798828125 	 Loss:  0.3870714604854584 	 Wins:  0.0 	 Epsilon:  0.01
84 	Avg Reward:  0.1810302734375 	 Loss:  0.3852766156196594 	 Wins:  0.0 	 Epsilon:  0.01
85 	Avg Reward:  0.18798828125 	 Loss:  0.3892258405685425 	 Wins:  0.0 	 Epsilon:  0.01
86 	Avg Reward:  0.174072265625 	 Loss:  0.384209543466568 	 Wins:  0.0 	 Epsilon:  0.01
87 	Avg Reward:  0.1998291015625 	 Loss:  0.37622928619384766 	 Wins:  0.1218026796589525 	 Epsilon:  0.01
88 	Avg Reward:  0.1868896484375 	 Loss:  0.3683006763458252 	 Wins:  0.0 	 Epsilon:  0.01
89 	Avg Reward:  0.184326171875 	 Loss:  0.3803291320800781 	 Wins:  0.0 	 Epsilon:  0.01
90 	Avg Reward:  0.1641845703125 	 Loss:  0.39004817605018616 	 Wins:  0.0 	 Epsilon:  0.01
91 	Avg Reward:  0.1689453125 	 Loss:  0.39760637283325195 	 Wins:  0.0 	 Epsilon:  0.01
92 	Avg Reward:  0.18505859375 	 Loss:  0.3743685781955719 	 Wins:  0.0 	 Epsilon:  0.01
93 	Avg Reward:  0.178466796875 	 Loss:  0.3861038386821747 	 Wins:  0.0 	 Epsilon:  0.01
94 	Avg Reward:  0.1759033203125 	 Loss:  0.3853796124458313 	 Wins:  0.0 	 Epsilon:  0.01
95 	Avg Reward:  0.169677734375 	 Loss:  0.3815115690231323 	 Wins:  0.0 	 Epsilon:  0.01
96 	Avg Reward:  0.1832275390625 	 Loss:  0.3733556270599365 	 Wins:  0.0 	 Epsilon:  0.01
97 	Avg Reward:  0.18798828125 	 Loss:  0.3758080005645752 	 Wins:  0.0 	 Epsilon:  0.01
98 	Avg Reward:  0.191650390625 	 Loss:  0.3671826720237732 	 Wins:  0.0 	 Epsilon:  0.01
99 	Avg Reward:  0.1829833984375 	 Loss:  0.3844917416572571 	 Wins:  0.11534025374855825 	 Epsilon:  0.01
100 	Avg Reward:  0.1861572265625 	 Loss:  0.3801993429660797 	 Wins:  0.0 	 Epsilon:  0.01
