1 	Avg Reward:  0.150634765625 	 Loss:  0.45144882798194885 	 Wins:  0.0 	 Epsilon:  -1
2 	Avg Reward:  0.1524658203125 	 Loss:  0.45690444111824036 	 Wins:  0.0 	 Epsilon:  0.01
3 	Avg Reward:  0.176025390625 	 Loss:  0.45452073216438293 	 Wins:  0.11286681715575621 	 Epsilon:  0.01
4 	Avg Reward:  0.16162109375 	 Loss:  0.44754472374916077 	 Wins:  0.0 	 Epsilon:  0.01
5 	Avg Reward:  0.166015625 	 Loss:  0.45341527462005615 	 Wins:  0.0 	 Epsilon:  0.01
6 	Avg Reward:  0.1689453125 	 Loss:  0.4415067434310913 	 Wins:  0.0 	 Epsilon:  0.01
7 	Avg Reward:  0.1649169921875 	 Loss:  0.4512072205543518 	 Wins:  0.0 	 Epsilon:  0.01
8 	Avg Reward:  0.1715087890625 	 Loss:  0.440244197845459 	 Wins:  0.0 	 Epsilon:  0.01
9 	Avg Reward:  0.1683349609375 	 Loss:  0.4340680241584778 	 Wins:  0.11025358324145534 	 Epsilon:  0.01
10 	Avg Reward:  0.1619873046875 	 Loss:  0.4313839077949524 	 Wins:  0.0 	 Epsilon:  0.01
11 	Avg Reward:  0.1649169921875 	 Loss:  0.43251001834869385 	 Wins:  0.0 	 Epsilon:  0.01
12 	Avg Reward:  0.1678466796875 	 Loss:  0.4255482256412506 	 Wins:  0.0 	 Epsilon:  0.01
13 	Avg Reward:  0.1722412109375 	 Loss:  0.414531409740448 	 Wins:  0.0 	 Epsilon:  0.01
14 	Avg Reward:  0.165283203125 	 Loss:  0.40662944316864014 	 Wins:  0.0 	 Epsilon:  0.01
15 	Avg Reward:  0.1707763671875 	 Loss:  0.39015671610832214 	 Wins:  0.0 	 Epsilon:  0.01
16 	Avg Reward:  0.159423828125 	 Loss:  0.37975454330444336 	 Wins:  0.0 	 Epsilon:  0.01
17 	Avg Reward:  0.1612548828125 	 Loss:  0.370964914560318 	 Wins:  0.0 	 Epsilon:  0.01
18 	Avg Reward:  0.1553955078125 	 Loss:  0.36817580461502075 	 Wins:  0.0 	 Epsilon:  0.01
19 	Avg Reward:  0.1641845703125 	 Loss:  0.3493973910808563 	 Wins:  0.0 	 Epsilon:  0.01
20 	Avg Reward:  0.1689453125 	 Loss:  0.3424726128578186 	 Wins:  0.0 	 Epsilon:  0.01
21 	Avg Reward:  0.154296875 	 Loss:  0.3550582230091095 	 Wins:  0.0 	 Epsilon:  0.01
22 	Avg Reward:  0.1671142578125 	 Loss:  0.3401656150817871 	 Wins:  0.0 	 Epsilon:  0.01
23 	Avg Reward:  0.1700439453125 	 Loss:  0.323559045791626 	 Wins:  0.0 	 Epsilon:  0.01
24 	Avg Reward:  0.1756591796875 	 Loss:  0.312497079372406 	 Wins:  0.11273957158962795 	 Epsilon:  0.01
25 	Avg Reward:  0.16748046875 	 Loss:  0.2902960777282715 	 Wins:  0.0 	 Epsilon:  0.01
26 	Avg Reward:  0.1641845703125 	 Loss:  0.30184245109558105 	 Wins:  0.0 	 Epsilon:  0.01
27 	Avg Reward:  0.1759033203125 	 Loss:  0.2903483808040619 	 Wins:  0.0 	 Epsilon:  0.01
28 	Avg Reward:  0.172607421875 	 Loss:  0.28719362616539 	 Wins:  0.0 	 Epsilon:  0.01
29 	Avg Reward:  0.163818359375 	 Loss:  0.2813529968261719 	 Wins:  0.0 	 Epsilon:  0.01
30 	Avg Reward:  0.1729736328125 	 Loss:  0.29226237535476685 	 Wins:  0.0 	 Epsilon:  0.01
31 	Avg Reward:  0.1663818359375 	 Loss:  0.2712227702140808 	 Wins:  0.0 	 Epsilon:  0.01
32 	Avg Reward:  0.1656494140625 	 Loss:  0.27333399653434753 	 Wins:  0.0 	 Epsilon:  0.01
33 	Avg Reward:  0.18212890625 	 Loss:  0.27269187569618225 	 Wins:  0.0 	 Epsilon:  0.01
34 	Avg Reward:  0.1700439453125 	 Loss:  0.27481168508529663 	 Wins:  0.0 	 Epsilon:  0.01
35 	Avg Reward:  0.160888671875 	 Loss:  0.26791462302207947 	 Wins:  0.0 	 Epsilon:  0.01
36 	Avg Reward:  0.17041015625 	 Loss:  0.281766414642334 	 Wins:  0.0 	 Epsilon:  0.01
37 	Avg Reward:  0.171142578125 	 Loss:  0.2742585241794586 	 Wins:  0.0 	 Epsilon:  0.01
38 	Avg Reward:  0.1700439453125 	 Loss:  0.27357882261276245 	 Wins:  0.0 	 Epsilon:  0.01
39 	Avg Reward:  0.190185546875 	 Loss:  0.271747887134552 	 Wins:  0.0 	 Epsilon:  0.01
40 	Avg Reward:  0.1744384765625 	 Loss:  0.263071209192276 	 Wins:  0.0 	 Epsilon:  0.01
41 	Avg Reward:  0.177734375 	 Loss:  0.2603658437728882 	 Wins:  0.0 	 Epsilon:  0.01
42 	Avg Reward:  0.1583251953125 	 Loss:  0.2769583463668823 	 Wins:  0.0 	 Epsilon:  0.01
43 	Avg Reward:  0.1612548828125 	 Loss:  0.26286521553993225 	 Wins:  0.0 	 Epsilon:  0.01
44 	Avg Reward:  0.1693115234375 	 Loss:  0.27156510949134827 	 Wins:  0.0 	 Epsilon:  0.01
45 	Avg Reward:  0.16455078125 	 Loss:  0.25833889842033386 	 Wins:  0.0 	 Epsilon:  0.01
46 	Avg Reward:  0.163818359375 	 Loss:  0.25791287422180176 	 Wins:  0.0 	 Epsilon:  0.01
47 	Avg Reward:  0.1715087890625 	 Loss:  0.25915467739105225 	 Wins:  0.0 	 Epsilon:  0.01
48 	Avg Reward:  0.175537109375 	 Loss:  0.26839500665664673 	 Wins:  0.0 	 Epsilon:  0.01
49 	Avg Reward:  0.177001953125 	 Loss:  0.2722575068473816 	 Wins:  0.0 	 Epsilon:  0.01
50 	Avg Reward:  0.178466796875 	 Loss:  0.27194082736968994 	 Wins:  0.0 	 Epsilon:  0.01
51 	Avg Reward:  0.1861572265625 	 Loss:  0.2585608661174774 	 Wins:  0.0 	 Epsilon:  0.01
52 	Avg Reward:  0.1693115234375 	 Loss:  0.2534167766571045 	 Wins:  0.0 	 Epsilon:  0.01
53 	Avg Reward:  0.1781005859375 	 Loss:  0.25531819462776184 	 Wins:  0.0 	 Epsilon:  0.01
54 	Avg Reward:  0.1751708984375 	 Loss:  0.25570428371429443 	 Wins:  0.0 	 Epsilon:  0.01
55 	Avg Reward:  0.1663818359375 	 Loss:  0.26065921783447266 	 Wins:  0.0 	 Epsilon:  0.01
56 	Avg Reward:  0.160888671875 	 Loss:  0.25902268290519714 	 Wins:  0.0 	 Epsilon:  0.01
57 	Avg Reward:  0.169677734375 	 Loss:  0.25732821226119995 	 Wins:  0.0 	 Epsilon:  0.01
